city_name,country_code,latitude,longitude,station_distance_km,years_analyzed,first_year,last_year,temp_trend_per_year,temp_trend_per_decade,ols_trend_per_decade,r_squared,t_statistic,p_value,significant_05,temp_2000_2009,temp_2015_2024,mean_temp_all_years,temp_std_dev
Pello,FI,66.774,23.963,0.249,25,2000,2024,0.042782352941176466,0.42782352941176466,0.37758461538461524,0.12045144188467949,1.7747615413777194,0.08917552392146777,False,1.4412999999999998,1.9417000000000002,1.6636399999999998,0.8007083260047527
Port-aux-Français,TF,-49.349,70.219,2.221,23,2000,2024,0.015799999999999946,0.15799999999999947,0.20134331062472816,0.17681610524980118,2.1238416085346272,0.04572869818993186,True,4.7074444444444445,5.141000000000001,4.898652173913042,0.353609647222323
Postmasburg,ZA,-28.334,23.065,0.186,20,2000,2024,0.08537619047619044,0.8537619047619044,0.9732361684191843,0.3897427181241915,3.390539218327139,0.003259075774435294,True,17.933,19.909799999999997,19.09015,1.2006177477931057
Puerto San Julián,AR,-49.307,-67.73,5.307,22,2000,2024,0.02259999999999991,0.2259999999999991,0.3397339436418254,0.22157605043709716,2.385988310430909,0.027033834162211168,True,10.173874999999999,10.752500000000001,10.525590909090907,0.5615083139011269
Qionghai,CN,19.242,110.464,1.097,25,2000,2024,0.026891826923076848,0.2689182692307685,0.22813846153846098,0.16462108898413497,2.128947243180757,0.04418662385194594,True,25.6775,26.0589,25.83664,0.41382986439679104
Reykjavík,IS,64.135,-21.895,0.354,25,2000,2024,-0.019758513931888537,-0.19758513931888538,-0.21244615384615367,0.1061630723767768,-1.6528045921582262,0.11195783503014534,False,5.5428,5.2333,5.449400000000001,0.4798750705478805
Richlands,US,37.093,-81.794,0.075,25,2000,2024,0.0644791666666667,0.644791666666667,0.5758076923076918,0.4567926819036897,4.39785271603627,0.00020884703630041912,True,11.473,12.4656,11.90604,0.6270236890793413
Rikitea,PF,-23.123,-134.969,1.099,25,2000,2024,-0.00216517857142849,-0.0216517857142849,-0.004015384615384313,0.0001236260819632573,-0.05332683608627199,0.9579319836450226,False,23.6342,23.656599999999997,23.617400000000004,0.265789703838705
Rockhampton,AU,-23.38,150.506,2.958,25,2000,2024,0.029499999999999936,0.2949999999999994,0.33230769230769225,0.2220969751082279,2.562550953978362,0.01740598843479324,True,23.1008,23.6706,23.272239999999996,0.5189614854045849
Rovaniemi,FI,66.5,25.717,0.299,25,2000,2024,0.03594642857142856,0.35946428571428557,0.3698230769230768,0.11423811761390879,1.7223084948216598,0.0984363946081197,False,2.3539000000000003,2.8283,2.556,0.8052941491571056
Río Gallegos,AR,-51.625,-69.252,2.312,25,2000,2024,0.04575128205128211,0.45751282051282105,0.5089615384615382,0.43076404793197365,4.171934505498652,0.0003668020684151063,True,7.8681,8.622800000000002,8.267040000000001,0.5707307800822848
Safed,IL,32.965,35.496,0.437,25,2000,2024,0.033641666666666716,0.33641666666666714,0.2846846153846154,0.14237843224251723,1.9540612571528118,0.06295929752124874,False,16.9225,17.393700000000003,17.211599999999997,0.5552747818272803
Salla,FI,66.833,28.667,0.501,25,2000,2024,0.03883333333333333,0.3883333333333333,0.37161538461538457,0.10088758872447934,1.6064817373040017,0.12181150068154123,False,0.4109,0.9697999999999999,0.69788,0.8610747799504214
Sambava,MG,-14.267,50.167,1.639,18,2001,2022,0.028833333333333638,0.2883333333333364,0.4168302723242563,0.28896579861818383,2.5499870068536397,0.02140381894496146,True,25.11916666666667,25.834857142857143,25.334111111111113,0.49820877845347583
Saskylakh,RU,71.963,114.092,0.835,24,2000,2024,0.07952619047619044,0.7952619047619045,0.8810243243243244,0.26162518707493154,2.7919824203765002,0.010627204891872744,True,-13.392,-12.23688888888889,-12.634666666666668,1.2613175535980194
Seymchan,RU,62.934,152.391,2.295,24,2000,2024,-0.022098484848484853,-0.22098484848484853,-0.06990289389067526,0.003574428962981213,-0.28092619927188595,0.7813920890188542,False,-9.366899999999998,-9.3154,-9.325125,0.8776118441048091
Srednekolymsk,RU,67.456,153.704,0.945,22,2000,2024,0.02586666666666666,0.2586666666666666,0.3202955646802056,0.08144053105937421,1.3316241324647577,0.19796254617011888,False,-10.279111111111112,-9.7192,-9.953863636363637,0.8585325406626256
